Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Marca_Cod,Material_Cod,Temporada_Cod,Marca_Freq,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Material_Freq
Roupa Completa Conjunto Apicultor Pra Tirar Abelhas Mel,4.2,384.0,10.0,Pérola,Brim 100% Algodão,Sem Gênero,Não Definido,"E um produto ótimo adorei fiquei muito confortável dentro dela quando experimentei , mas não usei pra trabalho ainda as abelhas foram embora eu ia fazer o resgate do exame kkkkkkkkkk.","Ótimo material, enteegou super rápido, única observação que queria deixar é que o zíper poderia ser maior pra não dá tanto trabalho na hora de vestir.",Comprei duas uma vei certo a outra veio com defeito na costura um buraco na perna faltou um controle de qualidade.,5000,151.7,637,46,1,0.0040927694406548,0.7037037037037038,0.042304726231133634,0.15151515151515152,0.24013505678523925,0.0028360748723766306
Kit 5 Bermuda Short Masculino Academia Fitness Treino Verão,4.3,672.0,15.0,Canario,Moletinho,Masculino,Primavera/Verão,"Ótimo custo, muito boa a qualidade do material. Recomendo.","Excelente custo benefício, tecido é de boa qualidade, costuras bem feitas tbm. Tenho 1. 73 de altura e 75kg, o tamanho g ficou confortável, nem largo, nem apertado e na linha do joelho, para treinar na academia e até correr está ótimo pra mim. Quem tem a minha estatura e gosta de algo mais justo pega m.","Que falta de respeito, hein! vcs mandaram as bermudas sem bolso traseiro e só uma com etiqueta na perna, já fiz a compra de um kit de 3 bermudas há um ano e dois meses e até hoje estão perfeitas e com bolso traseiro. Achei muita falta de profissionalismo mandar as bermudas assim, principalmente sem bolso traseiro. Vou enfiar minha carteira a onde, no col?.",5000,169.49,170,106,7,0.0100045475216007,0.7407407407407406,0.07403327090448386,0.2272727272727273,0.27047167559087343,0.008508224617129892
Roupa Conjunto Térmico Infantil Forrado Grossa+brinde,4.7,103.0,0.0,Neve,Poliéster Elastano Fleece,Meninas,Outono/Inverno,"Tecido bem gostoso, comprei para meu filho de 4 anos o tamanho 6 ficou grande bem de leve.
Se tivesse comprado de 4 anos não iria dar direito.","Muito bom o tecido,bem quentinho,confortável,não gruda pelinhos e ainda veio um par de meias muito fofo de brinde e uma luva,amamos o mimo.","Pedi tamanho 6, minha filha tem 5 anos e ficou levemente folgado, mas dentro do previsto. Veio uma meia e uma liba de brinde, minha filha amou.
A roupa tem boa costura, é forrada, tecido de qualidade. Estou satisfeita com a compra.",1000,78.9,563,123,3,0.0013642564802182,0.888888888888889,0.011347361463038448,0.0,0.11599195116128375,0.0005672149744753262
Pacote 4 Cuecas Boxer Algodão Box Masculina Cotton Zorba,4.6,2290.0,25.0,Zorba,Algodão,Masculino,Primavera-Verão Outono-Inverno,"A cueca é sensacional! a melhor cueca que eu já tive. Tenho o quadril bem largo e sempre tive dificuldade de achar uma cueca boa, então se vc quer uma cueca confortável, vc achou!.","Na foto de corea diversas tem 4 cores, então dá a entender que viria as 4 cores. Mais veio 2 brancas, coisa que detesto branco, mais por achar q viria somente 1 então relevei, mais veio 2, coisa q me decepcionei. O tecido é bom. O formato é um pouco grande, mais vai servir.","Já conhecia o produto, então, sem novidades. Excelente qualidade. O único inconveniente foi que os pacotes vieram repetidos, portanto, apenas 2 cores ao invés de 4 como esperava.",10000,105.99,838,25,6,0.0090950432014552,0.8518518518518517,0.2522859975762917,0.3787878787878788,0.16218751065789025,0.1820760068065797
Organizador Necessaire Mala Kit 6 Pratico Look Roupas Viagem,4.5,453.0,0.0,Genérica,Poliéster,Sem Gênero,Não Definido,"Apesar do material ser fininho, é bem resistente. Usei numa viagem por quase 2 meses, coloquei e retirei muita roupa e todos voltaram em perfeito estado.
Tem uma ótima capacidade de compressão e ajudam muito a manter a mala/mochila organizada.
A tela, diferentemente dos modelos totalmente fechados, ajudaram demais a não ter que ficar abrindo cada um para buscar uma peça de roupa, contribuindo para a manutenção da organização. Os bolsos também funcionam bem para peças ainda úmidas (não pode totalmente molhada) em não molhar as demais por ter boa impermeabilidade.
Os zíperes, em todos 6 itens (cubos e bolsos), abrem e fecham sem travar mas coma firmeza necessári para não abrir por acidente nenhum deles.","Gostei bastante, aguentou peso.",Produto bom. Dei de presente a pessoa amou e a filha tbm; vou ter que comprar outro 😁.,5000,35.9,327,122,1,0.0095497953615279,0.8148148148148148,0.049906356725790454,0.0,0.042665666246035266,0.12592172433352242
Kit 3 Short Laço Cintura Alta Shortinho Curto Roupa Feminina,4.6,0.0,0.0,Outros,Bengaline,Feminino,Primavera/Verão,Sem comentários,Sem comentários,Sem comentários,5,110.69,586,41,7,0.0022737608003638,0.8518518518518517,0.0,0.0,0.1702022441253709,0.0045377197958026095
Cueiro Swaddle Ajustável 100% Algodão,4.4,80.0,11.0,Miracle Baby,Indeterminado,Bebês,Não Definido,A crianca nao fica com os bracinhos bem presos. A faixa de velcro é muito pequena e portanto permite pouco ajuste. O velcro é fraco. As perninhas ficam encurvadas demais.,Meu bebê se acalma muito quando ponho no saquinho.,Adoramos serviu certinho adoramos.,1000,104.36,520,178,1,0.0004547521600727,0.777777777777778,0.008813484631486174,0.16666666666666669,0.15940793288087038,0.3828701077708451
Faixa Peitoral Para Ginecomastia Reduz Volume Do Peito Homem,4.4,78.0,18.0,Men'Spa,"82% Poliéster, 18% Elastodieno",Masculino,Não Definido,As tetas ficaram bem de boas.,Produto perfeito isso aumenta a autoestima de um jeito incrivel muito obrigado.,"Comprei o tamanho m e precisei dar um ajuste nela, porém após a cirurgia perdeu o volume, pode ter sido por isso. Mas muito boa, de início da sensação que ficará descendo, mas depois acostuma.",1000,119.31,507,10,1,0.001819008640291,0.777777777777778,0.008593147515699019,0.2727272727272727,0.1849016063572184,0.0022688598979013048
"Kit Com 4 Short Para Usar Embaixo Da Roupa, Vestido, Saia",4.2,88.0,11.0,Silvest Lingerie,Poliéster,Feminino,Primavera/Verão,Estou dando 5 estrelas em todos pq tudo que compro no mercado livre e ótimo.,São só fino mais serve pra usar não esquenta sao fresquinho.,"Não veio como na foto.
É minúsculo!.
O tamanho eg adulto doei para uma criança de 9 anos.
O cumprimento das coxas veio errado! na foto mostra uma coisa e veio com 3 dedos !.
Não gostei!.",1000,57.93,719,122,7,0.0022737608003638,0.7037037037037038,0.009694833094634791,0.16666666666666669,0.08023259779680093,0.12592172433352242
Vestido Anágua Uso Debaixo Combinete Combinação Segunda Pele,4.6,63.0,0.0,Moda Shop Roupa Feminina,Indeterminado,Feminino,Não Definido,"Tenho 1,70 e 90 quilos, o tamanho g, e serviu perfeitamente. O ponto negativo é que a costura é muito grossa, então se for usar com um vestido bem colocado fica marcando.","Ainda não usei ,mas ficou muito comprido,vou ter que cortar um pedaço no comprimento pois ficou abaixo do joelho e assim não dá pra usar , é um tecido até grosso,sem mais.",Produto fica muito colado no corpo.,100,56.4,530,178,1,0.001819008640291,0.8518518518518517,0.006940619147295361,0.0,0.07762354626377,0.3828701077708451
